Reference area,TIME_PERIOD,OBS_VALUE,Sex.1
Estonia,2018,22.9,Male
Estonia,2018,22.3,Male
Estonia,2018,57.7,Female
Estonia,2018,39.2,Female
Estonia,2018,44.5,Female
Estonia,2018,40.4,Female
Estonia,2018,39,Female
Estonia,2018,40.9,Female
Estonia,2018,40.7,Female
Estonia,2020,41.1,Female
Estonia,2020,42.6,Female
Estonia,2020,44.6,Female
Estonia,2020,45.2,Female
Estonia,2020,44.9,Female
Estonia,2020,48.1,Female
Estonia,2020,46,Female
Estonia,2020,43.7,Female
Estonia,2020,44.2,Female
Estonia,2022,46.8,Female
Estonia,2022,44.9,Female
Estonia,2022,22,Female
Estonia,2022,14.3,Female
Estonia,2022,14.8,Female
Estonia,2022,14.2,Female
Estonia,2022,14.8,Female
Estonia,2022,15.4,Female
Estonia,2022,14.6,Female
Finland,1978,14.9,Female
Finland,1978,16.5,Female
Finland,1978,18.3,Female
Finland,1978,16.8,Female
Finland,1978,19.3,Female
Finland,1978,19.9,Female
Finland,1978,18.7,Female
Finland,1978,17.7,Female
Finland,1978,18.9,Female
Finland,1979,20.1,Female
Finland,1979,41.5,Male
Finland,1979,34,Male
Finland,1979,35.9,Male
Finland,1979,33.7,Male
Finland,1979,31.2,Male
Finland,1979,31,Male
Finland,1979,32.9,Male
Finland,1979,31.9,Male
Finland,1979,37.3,Male
Finland,1979,38.8,Male
Finland,1979,36.6,Male
Finland,1979,35.9,Male
Finland,1979,39,Male
Finland,1979,40.1,Male
Finland,1979,39.8,Male
Finland,1979,39.7,Male
Finland,1979,38.7,Male
Finland,1980,14.6,Total
Finland,1980,22.5,Total
Finland,1980,24.8,Total
Finland,1980,21.5,Total
Finland,1980,26.8,Total
Finland,1980,30.2,Total
Finland,1980,39,Total
Finland,1980,41.1,Total
Finland,1980,40.2,Total
Finland,1981,36.5,Total
Finland,1981,40.8,Total
Finland,1981,39.7,Total
Finland,1981,53.6,Total
Finland,1981,63.6,Total
Finland,1981,65,Total
Finland,1981,58,Total
Finland,1981,67.6,Total
Finland,1981,69.8,Total
Finland,1982,6.6,Total
Finland,1982,7.4,Total
Finland,1982,7.4,Total
Finland,1982,7.3,Total
Finland,1982,7.2,Total
Finland,1982,7.6,Total
Finland,1982,7.7,Total
Finland,1982,6.7,Total
Finland,1982,7.5,Total
Finland,1983,8.3,Total
Finland,1983,7.8,Total
Finland,1983,8.3,Total
Finland,1983,8.4,Total
Finland,1983,8.8,Total
Finland,1983,8.6,Total
Finland,1983,8.9,Total
Finland,1983,9.5,Total
